IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.92.52.152,2083,80,false,ORD,North America,Chicago,205,0.00
34.208.202.108,2086,80,false,ORD,North America,Chicago,206,0.00
54.191.106.181,443,80,false,ORD,North America,Chicago,192,0.00
34.210.73.42,2053,80,false,ORD,North America,Chicago,214,0.00
54.214.97.254,2082,80,false,ORD,North America,Chicago,210,0.00
34.221.108.31,2053,80,false,ORD,North America,Chicago,193,0.00
52.12.64.84,8880,80,false,ORD,North America,Chicago,203,0.00
54.214.97.254,2087,80,false,ORD,North America,Chicago,214,0.00
54.251.118.130,2082,80,false,SIN,Asia Pacific,Singapore,2,0.00
54.251.118.130,2087,80,false,SIN,Asia Pacific,Singapore,2,0.00
13.228.155.72,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
54.254.190.97,2052,80,false,SIN,Asia Pacific,Singapore,3,0.00
13.228.142.218,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,70,0.00
13.124.81.29,443,443,true,NRT,Asia Pacific,Tokyo,86,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,92,0.00
54.253.222.7,2083,80,false,SYD,Oceania,Sydney,92,0.00
96.0.148.215,80,80,false,HKG,Asia Pacific,Hong Kong,108,0.00
96.0.147.114,80,80,false,HKG,Asia Pacific,Hong Kong,108,0.00
54.252.91.41,2053,80,false,SYD,Oceania,Sydney,112,0.00
13.40.164.88,80,443,true,LHR,Europe,London,155,0.00
13.40.99.32,80,443,true,LHR,Europe,London,157,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,159,0.00
3.70.92.227,2087,80,false,FRA,Europe,Frankfurt,182,0.00
54.170.240.44,8443,443,true,LHR,Europe,London,182,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,183,0.00
54.193.81.187,443,443,true,SJC,North America,San Jose,184,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,184,0.00
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,184,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,184,0.00
